,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
514,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.03756201275690999,0.2232459248759745,0.029057406094968107,0.7735849056603774,3.4651692123390236,0.020671839816848583,3.43066383179778
556,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN SPACEBOY'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.03118355776045358,0.14457831325301204,0.024096385542168676,0.7727272727272728,5.344696969696971,0.019587919359934425,3.7638554216867486
182,frozenset({'PINK  SPOTTY CUP'}),frozenset({'RED SPOTTY CUP'}),0.029766123316796598,0.04677533664068037,0.022678951098511695,0.761904761904762,16.28860028860029,0.02128663065988053,4.003543586109144
408,"frozenset({'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.031892274982282066,0.13961729270021261,0.024096385542168676,0.7555555555555556,5.41161872532431,0.019643672451091734,3.519747438953677
532,"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'SPACEBOY LUNCH BOX'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.03472714386959603,0.2232459248759745,0.026222537207654145,0.7551020408163265,3.3823777129899573,0.01846984385618515,3.171745806756437
39,frozenset({'CHILDS BREAKFAST SET DOLLY GIRL'}),frozenset({'CHILDS BREAKFAST SET SPACEBOY'}),0.028348688873139617,0.041814316087880936,0.021261516654854713,0.75,17.9364406779661,0.02007613561763626,3.8327427356484765
186,frozenset({'PLASTERS IN TIN STRONGMAN'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.07583274273564848,0.13961729270021261,0.05669737774627923,0.7476635514018691,5.355092746335215,0.04610981550749628,3.409664803002861
341,"frozenset({'ALARM CLOCK BAKELIKE RED', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.03614457831325301,0.059532246633593196,0.026931254429482635,0.7450980392156863,12.515873015873016,0.024779486478870832,3.6895273401297497
171,frozenset({'PACK OF 6 SKULL PAPER CUPS'}),frozenset({'PACK OF 6 SKULL PAPER PLATES'}),0.03330970942593905,0.029766123316796598,0.024805102763997167,0.7446808510638299,25.017730496453904,0.023813601845578004,3.800082683675881
382,"frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.03047484053862509,0.10276399716513111,0.022678951098511695,0.7441860465116279,7.241700080192461,0.019547234671792604,3.5073771019908513
331,frozenset({'SPACEBOY CHILDRENS BOWL'}),frozenset({'SPACEBOY CHILDRENS CUP'}),0.027639971651311126,0.023387668320340185,0.020552799433026223,0.7435897435897436,31.794094794094793,0.019906364943661752,3.8087880935506733
376,"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'LUNCH BOX WITH CUTLERY RETROSPOT'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.041105598866052445,0.2232459248759745,0.03047484053862509,0.7413793103448276,3.3209085933223865,0.021298183102192402,3.003449090479566
288,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.14953933380581147,0.2232459248759745,0.1105598866052445,0.7393364928909953,3.3117580681561725,0.07717583972442904,2.979911088203081
246,"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.03260099220411056,0.029057406094968107,0.024096385542168676,0.7391304347826088,25.43690349946978,0.023149085272594946,3.7219466099692897
6,frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.04890148830616584,0.0446491849751949,0.03614457831325301,0.7391304347826086,16.554175293305725,0.03396116671630868,3.6621781242617524
27,frozenset({'BLUE  SPOTTY CUP'}),frozenset({'RED SPOTTY CUP'}),0.029766123316796598,0.04677533664068037,0.021970233876683204,0.7380952380952381,15.77958152958153,0.02057791343805204,3.6395850782810393
378,"frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.041814316087880936,0.14953933380581147,0.03047484053862509,0.7288135593220338,4.873724797172463,0.024221955567297747,3.1360737065910693
31,frozenset({'BLUE POLKADOT CUP'}),frozenset({'RED RETROSPOT CUP'}),0.028348688873139617,0.042523033309709427,0.020552799433026223,0.725,17.04958333333333,0.01934732719178712,3.4817344243283292
258,frozenset({'RED SPOTTY BOWL'}),frozenset({'RED SPOTTY CUP'}),0.028348688873139617,0.04677533664068037,0.020552799433026223,0.725,15.49962121212121,0.019226779967663206,3.4662715031247986
25,frozenset({'BLUE  SPOTTY CUP'}),frozenset({'PINK  SPOTTY CUP'}),0.029766123316796598,0.029766123316796598,0.021261516654854713,0.7142857142857143,23.996598639455783,0.02037549455754397,3.395818568391212
169,frozenset({'PACK OF 6 SKULL PAPER PLATES'}),frozenset({'PACK OF 20 SKULL PAPER NAPKINS'}),0.029766123316796598,0.026222537207654145,0.021261516654854713,0.7142857142857143,27.23938223938224,0.020480973378652394,3.4082211197732106
24,frozenset({'PINK  SPOTTY CUP'}),frozenset({'BLUE  SPOTTY CUP'}),0.029766123316796598,0.029766123316796598,0.021261516654854713,0.7142857142857143,23.996598639455783,0.02037549455754397,3.395818568391212
5,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.0446491849751949,0.059532246633593196,0.031892274982282066,0.7142857142857142,11.99829931972789,0.02923420869034984,3.2916371367824224
502,"frozenset({'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.031892274982282066,0.2232459248759745,0.022678951098511695,0.7111111111111112,3.1853262786596126,0.01555913067369323,2.688764106198551
321,frozenset({'SET/10 PINK POLKADOT PARTY CANDLES'}),frozenset({'SET/10 RED POLKADOT PARTY CANDLES'}),0.029057406094968107,0.04606661941885188,0.020552799433026223,0.7073170731707317,15.354221388367728,0.0192142229651503,3.2592723836522555
587,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF 4 FRUITS', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.029057406094968107,0.13961729270021261,0.020552799433026223,0.7073170731707317,5.066113656060418,0.016495883061156118,2.9396409166076065
400,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN SPACEBOY'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.06520198440822111,0.14457831325301204,0.04606661941885188,0.7065217391304349,4.886775362318842,0.03663982649236208,2.914770191878627
172,frozenset({'PACK OF 6 SKULL PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.03330970942593905,0.09142452161587526,0.023387668320340185,0.7021276595744682,7.679861454725385,0.020342344070909898,3.0502176774324203
520,"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'RED TOADSTOOL LED NIGHT LIGHT'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.03543586109142452,0.2232459248759745,0.024805102763997167,0.7000000000000001,3.135555555555556,0.01689419118086554,2.5891802504134187
498,"frozenset({'PLASTERS IN TIN SPACEBOY', 'SPACEBOY LUNCH BOX'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.03543586109142452,0.14457831325301204,0.024805102763997167,0.7000000000000001,4.841666666666668,0.019681845738730972,2.85140562248996
573,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.03047484053862509,0.13961729270021261,0.021261516654854713,0.6976744186046512,4.997048754574431,0.01700670192338119,2.8458812626069894
571,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.03047484053862509,0.14457831325301204,0.021261516654854713,0.6976744186046512,4.825581395348838,0.016855515613125784,2.829471733086191
366,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'LUNCH BOX WITH CUTLERY RETROSPOT'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.03047484053862509,0.13961729270021261,0.021261516654854713,0.6976744186046512,4.997048754574431,0.01700670192338119,2.8458812626069894
358,"frozenset({'LUNCH BAG WOODLAND', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.03047484053862509,0.2232459248759745,0.021261516654854713,0.6976744186046512,3.125138427464009,0.014458132693361514,2.569263479256392
538,"frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.03047484053862509,0.2232459248759745,0.021261516654854713,0.6976744186046512,3.125138427464009,0.014458132693361514,2.569263479256392
176,frozenset({'PACK OF 6 SKULL PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.029766123316796598,0.09142452161587526,0.020552799433026223,0.6904761904761905,7.552417866371355,0.017831445848428943,2.9353976993948647
69,frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.05598866052445074,0.10559886605244508,0.03827072997873848,0.6835443037974683,6.473026930592133,0.03235839091556119,2.8263075832742732
492,"frozenset({'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.0446491849751949,0.14457831325301204,0.03047484053862509,0.6825396825396826,4.720899470899472,0.02401953668678968,2.6945783132530123
414,"frozenset({'PLASTERS IN TIN SPACEBOY', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.0446491849751949,0.13961729270021261,0.03047484053862509,0.6825396825396826,4.888647167834986,0.024241042211117367,2.7102055279943302
347,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'CIRCUS PARADE LUNCH BOX'})",frozenset({'SPACEBOY LUNCH BOX'}),0.03118355776045358,0.10559886605244508,0.021261516654854713,0.6818181818181819,6.456680902989628,0.01796856831586989,2.8109749924066016
8,frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.04890148830616584,0.059532246633593196,0.03330970942593905,0.681159420289855,11.441856452726016,0.03039849396334661,2.949648862831002
561,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN SPACEBOY'})","frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN WOODLAND ANIMALS'})",0.03543586109142452,0.08291991495393337,0.024096385542168676,0.68,8.200683760683761,0.021158046954148357,2.865875265768959
450,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.03756201275690999,0.13961729270021261,0.025513819985825654,0.6792452830188679,4.865051240302653,0.02026951345633503,2.6823696168758073
462,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'STRAWBERRY LUNCH BOX WITH CUTLERY'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.03047484053862509,0.13961729270021261,0.020552799433026223,0.6744186046511628,4.830480462755283,0.0162979847015527,2.6426040295636324
286,frozenset({'ROUND CONTAINER SET OF 5 RETROSPOT'}),frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.03260099220411056,0.2232459248759745,0.021970233876683204,0.673913043478261,3.0187025534851624,0.014692195220202108,2.3820458303803456
486,"frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS', 'PLASTERS IN TIN SPACEBOY'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.031892274982282066,0.14457831325301204,0.021261516654854713,0.6666666666666667,4.611111111111112,0.016650585332115136,2.5662650602409642
156,frozenset({'SKULL LUNCH BOX WITH CUTLERY'}),frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.04677533664068037,0.10276399716513111,0.03118355776045358,0.6666666666666666,6.48735632183908,0.026376737198512648,2.6917080085046066
443,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'RED TOADSTOOL LED NIGHT LIGHT'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.040396881644223954,0.14457831325301204,0.026931254429482635,0.6666666666666666,4.611111111111111,0.02109074142067917,2.5662650602409633
444,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'RED TOADSTOOL LED NIGHT LIGHT'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.041105598866052445,0.13961729270021261,0.026931254429482635,0.6551724137931034,4.692630841939436,0.021192202000983464,2.495109851169383
557,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN WOODLAND ANIMALS'})",frozenset({'PLASTERS IN TIN SPACEBOY'}),0.0368532955350815,0.10985116938341602,0.024096385542168676,0.6538461538461539,5.952109181141439,0.02004800793200735,2.571541066225687
402,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN SPACEBOY'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.07087172218284904,0.13961729270021261,0.04606661941885188,0.65,4.655583756345178,0.0361717014386809,2.458236306570821
424,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN CIRCUS PARADE'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.05669737774627923,0.14457831325301204,0.0368532955350815,0.65,4.495833333333334,0.02865608429465559,2.4440619621342514
324,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.06449326718639263,0.08717221828490432,0.041814316087880936,0.6483516483516484,7.437594925399805,0.03619229492280206,2.5958540042523035
211,frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.10985116938341602,0.14457831325301204,0.07087172218284904,0.6451612903225806,4.46236559139785,0.05498962540452383,2.4107338444687842
54,frozenset({'CIRCUS PARADE LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.06165839829907867,0.10559886605244508,0.039688164422395464,0.6436781609195402,6.09550258427833,0.03317710747940275,2.5100935049495896
322,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.06449326718639263,0.09142452161587526,0.041105598866052445,0.6373626373626373,6.9714626458812505,0.03520933276609167,2.5054657131198588
253,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.059532246633593196,0.13536498936924168,0.03756201275690999,0.6309523809523809,4.661119421590625,0.029503430824226573,2.3428819642897967
460,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'STRAWBERRY LUNCH BOX WITH CUTLERY'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.03260099220411056,0.14457831325301204,0.020552799433026223,0.6304347826086957,4.3605072463768115,0.015839402969781324,2.3146704464918497
370,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'STRAWBERRY LUNCH BOX WITH CUTLERY'})",frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.03260099220411056,0.10276399716513111,0.020552799433026223,0.6304347826086957,6.1347826086956525,0.017202591162582544,2.427815066494351
346,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'SPACEBOY LUNCH BOX'})",frozenset({'CIRCUS PARADE LUNCH BOX'}),0.03401842664776754,0.06165839829907867,0.021261516654854713,0.625,10.136494252873563,0.01916399495509867,2.5022442712024566
478,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN WOODLAND ANIMALS'})",frozenset({'PLASTERS IN TIN SPACEBOY'}),0.04535790219702339,0.10985116938341602,0.028348688873139617,0.625,5.689516129032258,0.023366070276017982,2.373730214977557
33,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.04677533664068037,0.13536498936924168,0.029057406094968107,0.6212121212121212,4.58916389021101,0.022725663147859707,2.282636428065202
18,frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'BAKING SET 9 PIECE RETROSPOT'}),0.03330970942593905,0.06591070163004961,0.020552799433026223,0.6170212765957447,9.36147334706017,0.018357333113669504,2.4390109457437594
174,frozenset({'PACK OF 6 SKULL PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.03330970942593905,0.08717221828490432,0.020552799433026223,0.6170212765957447,7.078187164850372,0.01764911817194153,2.3834947633671946
167,frozenset({'PACK OF 6 SKULL PAPER CUPS'}),frozenset({'PACK OF 20 SKULL PAPER NAPKINS'}),0.03330970942593905,0.026222537207654145,0.020552799433026223,0.6170212765957447,23.53018976423232,0.01967933433822839,2.542641152846681
389,"frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.0368532955350815,0.10276399716513111,0.022678951098511695,0.6153846153846154,5.9883289124668435,0.01889175914061884,2.3328136073706593
365,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'LUNCH BOX WITH CUTLERY RETROSPOT'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.03472714386959603,0.14457831325301204,0.021261516654854713,0.6122448979591837,4.23469387755102,0.01624072477009384,2.206087507926443
455,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.060240963855421686,0.14457831325301204,0.0368532955350815,0.6117647058823529,4.231372549019608,0.02814375859212897,2.2033588901058776
318,frozenset({'SAVE THE PLANET COTTON TOTE BAG'}),frozenset({'WOODLAND DESIGN  COTTON TOTE BAG'}),0.04535790219702339,0.07016300496102056,0.027639971651311126,0.609375,8.685132575757576,0.024457524934439888,2.380382707299787
553,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),"frozenset({'SET/6 RED SPOTTY PAPER CUPS', 'SET/6 RED SPOTTY PAPER PLATES'})",0.06449326718639263,0.07654145995747696,0.03897944720056697,0.6043956043956044,7.896316646316646,0.03404303837269284,2.3342979762185996
509,"frozenset({'PLASTERS IN TIN STRONGMAN', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.03401842664776754,0.14457831325301204,0.020552799433026223,0.6041666666666667,4.1788194444444455,0.015634472688770676,2.1610653138871276
310,frozenset({'WOODLAND  STICKERS'}),frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.03401842664776754,0.2232459248759745,0.020552799433026223,0.6041666666666667,2.706283068783069,0.012958324313219862,1.9623260845238542
